model_name,model_id,vocab_size,log2_vocab,BPB,bits_per_token,avg_bytes_per_token,perplexity,model_type,source_lang,target_lang,stars,quality_label,status,error_msg,eval_time_sec
Helsinki-NLP/opus-mt-ms-ms,ms-ms,3932,11.941,5.224326,9.7379,1.864,853.8887,translation,ms,ms,4.666666666666667,Gold Standard,success,,48.1
Helsinki-NLP/opus-mt-no-no,no-no,4000,11.966,7.067089,13.791,1.9514,14174.5724,translation,no,no,1.5,Basic,success,,55.9
Helsinki-NLP/opus-mt-es-gl,es-gl,5805,12.503,,,,,translation,es,gl,1.8333333333333333,Basic,error,"exit=-15: nts, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning
Token indices sequence length is longer than the specified maximum sequence length for this model (649055 > 512). Running this sequence through the model will result in indexing errors",22.5
Helsinki-NLP/opus-mt-gl-es,gl-es,5805,12.503,7.146286,14.4835,2.0267,22907.1922,translation,gl,es,3.5,Good,success,,29.4
Helsinki-NLP/opus-mt-gl-pt,gl-pt,5835,12.511,7.598438,15.742,2.0717,54805.4049,translation,gl,pt,1.5,Basic,success,,32.0
Helsinki-NLP/opus-mt-pt-gl,pt-gl,5835,12.511,7.739726,15.914,2.0561,61744.2321,translation,pt,gl,1.1666666666666667,Basic,success,,21.8
Helsinki-NLP/opus-mt-no-sv,no-sv,6455,12.656,6.146473,13.1435,2.1384,9048.808,translation,no,sv,4.5,Gold Standard,success,,30.8
Helsinki-NLP/opus-mt-sv-no,sv-no,6457,12.657,5.989314,12.173,2.0325,4617.9174,translation,sv,no,4.166666666666667,High Quality,success,,38.3
Helsinki-NLP/opus-mt-az-tr,az-tr,6904,12.753,5.490287,9.1435,1.6654,565.5342,translation,az,tr,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-tr-az,tr-az,6904,12.753,5.847601,10.1092,1.7288,1104.4914,translation,tr,az,5.0,Gold Standard,success,,32.3
Helsinki-NLP/opus-mt-no-de,no-de,7018,12.777,6.193162,12.6958,2.05,6634.6577,translation,no,de,4.5,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-de-no,de-no,7020,12.777,7.240546,13.8108,1.9074,14369.8074,translation,de,no,4.5,Gold Standard,success,,32.8
Helsinki-NLP/opus-mt-no-nl,no-nl,7046,12.783,6.09137,12.9393,2.1242,7854.5431,translation,no,nl,5.0,Gold Standard,success,,27.8
Helsinki-NLP/opus-mt-nl-no,nl-no,7046,12.783,5.988471,12.8324,2.1429,7293.54,translation,nl,no,5.0,Gold Standard,success,,28.2
Helsinki-NLP/opus-mt-no-fr,no-fr,7149,12.804,5.212497,10.7065,2.054,1671.0064,translation,no,fr,5.0,Gold Standard,success,,28.9
Helsinki-NLP/opus-mt-fr-no,fr-no,7151,12.804,6.023857,12.5419,2.082,5963.2357,translation,fr,no,4.5,Gold Standard,success,,45.0
Helsinki-NLP/opus-mt-no-pl,no-pl,7166,12.807,5.699671,12.3058,2.159,5063.2239,translation,no,pl,5.0,Gold Standard,success,,28.2
Helsinki-NLP/opus-mt-pl-no,pl-no,7166,12.807,7.006056,13.0316,1.86,8373.3796,translation,pl,no,5.0,Gold Standard,success,,34.5
Helsinki-NLP/opus-mt-fi_nb_no_nn_ru_sv_en-SAMI,fi_nb_no_nn_ru_sv_en-SAMI,7176,12.809,5.044272,10.3354,2.0489,1292.0232,translation,fi_nb_no_nn_ru_sv_en,SAMI,0.5,Experimental,success,,32.0
Helsinki-NLP/opus-mt-pt-eo,pt-eo,7246,12.823,6.45637,13.0673,2.0239,8583.0282,translation,pt,eo,5.0,Gold Standard,success,,31.9
Helsinki-NLP/opus-mt-eo-pt,eo-pt,7246,12.823,6.784501,13.2647,1.9552,9841.9459,translation,eo,pt,5.0,Gold Standard,success,,32.7
Helsinki-NLP/opus-mt-no-fi,no-fi,7255,12.825,5.649485,11.6133,2.0556,3132.9131,translation,no,fi,5.0,Gold Standard,success,,28.0
Helsinki-NLP/opus-mt-fi-no,fi-no,7256,12.825,6.813788,13.0714,1.9184,8607.6812,translation,fi,no,4.666666666666667,Gold Standard,success,,33.7
Helsinki-NLP/opus-mt-eo-it,eo-it,7276,12.829,6.635683,12.8031,1.9294,7146.6816,translation,eo,it,5.0,Gold Standard,success,,33.0
Helsinki-NLP/opus-mt-it-eo,it-eo,7276,12.829,5.784534,11.3447,1.9612,2600.7513,translation,it,eo,5.0,Gold Standard,success,,30.7
Helsinki-NLP/opus-mt-war-en,war-en,7278,12.829,6.031362,11.202,1.8573,2355.8352,translation,war,en,5.0,Gold Standard,success,,31.0
Helsinki-NLP/opus-mt-eo-sv,eo-sv,7284,12.831,6.257734,12.1746,1.9455,4622.9879,translation,eo,sv,5.0,Gold Standard,success,,30.2
Helsinki-NLP/opus-mt-sv-eo,sv-eo,7284,12.831,5.982519,11.8158,1.9751,3605.0312,translation,sv,eo,5.0,Gold Standard,success,,30.3
Helsinki-NLP/opus-mt-eo-da,eo-da,7286,12.831,6.483445,12.5049,1.9287,5812.1775,translation,eo,da,5.0,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-da-eo,da-eo,7286,12.831,5.754763,11.5134,2.0007,2923.3428,translation,da,eo,5.0,Gold Standard,success,,40.4
Helsinki-NLP/opus-mt-pl-eo,pl-eo,7325,12.839,6.419562,11.862,1.8478,3722.3036,translation,pl,eo,5.0,Gold Standard,success,,32.2
Helsinki-NLP/opus-mt-eo-pl,eo-pl,7325,12.839,6.355398,12.493,1.9657,5764.4737,translation,eo,pl,4.833333333333333,Gold Standard,success,,29.4
Helsinki-NLP/opus-mt-sh-eo,sh-eo,7343,12.842,6.367619,11.3164,1.7772,2550.295,translation,sh,eo,5.0,Gold Standard,success,,35.5
Helsinki-NLP/opus-mt-eo-nl,eo-nl,7344,12.842,5.919167,11.5058,1.9438,2907.9071,translation,eo,nl,5.0,Gold Standard,success,,31.5
Helsinki-NLP/opus-mt-nl-eo,nl-eo,7344,12.842,5.84568,12.1975,2.0866,4696.8701,translation,nl,eo,5.0,Gold Standard,success,,35.1
Helsinki-NLP/opus-mt-ro-eo,ro-eo,7347,12.843,5.765807,11.3528,1.969,2615.3565,translation,ro,eo,5.0,Gold Standard,success,,33.4
Helsinki-NLP/opus-mt-eo-ro,eo-ro,7347,12.843,6.051827,11.7087,1.9347,3347.1263,translation,eo,ro,5.0,Gold Standard,success,,34.7
Helsinki-NLP/opus-mt-eo-sh,eo-sh,7347,12.843,6.341349,12.0811,1.9051,4332.8707,translation,eo,sh,5.0,Gold Standard,success,,30.9
Helsinki-NLP/opus-mt-lt-eo,lt-eo,7388,12.851,6.171838,11.2849,1.8285,2495.1412,translation,lt,eo,5.0,Gold Standard,success,,33.7
Helsinki-NLP/opus-mt-tr-eo,tr-eo,7395,12.852,6.718667,12.3681,1.8409,5286.5983,translation,tr,eo,5.0,Gold Standard,success,,31.6
Helsinki-NLP/opus-mt-eo-cs,eo-cs,7397,12.853,6.252256,12.1588,1.9447,4572.6843,translation,eo,cs,5.0,Gold Standard,success,,44.6
Helsinki-NLP/opus-mt-cs-eo,cs-eo,7397,12.853,6.69142,12.6915,1.8967,6614.8135,translation,cs,eo,5.0,Gold Standard,success,,43.6
Helsinki-NLP/opus-mt-eo-fi,eo-fi,7439,12.861,7.027557,13.1936,1.8774,9368.5261,translation,eo,fi,5.0,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-fi-eo,fi-eo,7439,12.861,7.025846,12.3667,1.7602,5281.2198,translation,fi,eo,5.0,Gold Standard,success,,39.9
Helsinki-NLP/opus-mt-no-ru,no-ru,7466,12.866,5.662989,11.9908,2.1174,4069.9155,translation,no,ru,5.0,Gold Standard,success,,30.4
Helsinki-NLP/opus-mt-ru-no,ru-no,7468,12.867,8.926324,14.2531,1.5967,19525.927,translation,ru,no,5.0,Gold Standard,success,,35.7
Helsinki-NLP/opus-mt-no-uk,no-uk,7470,12.867,5.1524,11.0641,2.1474,2141.0386,translation,no,uk,5.0,Gold Standard,success,,29.3
Helsinki-NLP/opus-mt-uk-no,uk-no,7470,12.867,7.226977,11.9441,1.6527,3940.4526,translation,uk,no,5.0,Gold Standard,success,,34.2
Helsinki-NLP/opus-mt-af-eo,af-eo,7475,12.868,6.447065,12.0061,1.8623,4113.2226,translation,af,eo,5.0,Gold Standard,success,,33.6
Helsinki-NLP/opus-mt-eo-af,eo-af,7475,12.868,6.958594,12.3994,1.7819,5402.3269,translation,eo,af,5.0,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-hu-eo,hu-eo,7477,12.868,6.718755,12.107,1.802,4411.286,translation,hu,eo,5.0,Gold Standard,success,,37.4
Helsinki-NLP/opus-mt-eo-hu,eo-hu,7477,12.868,6.772934,13.0684,1.9295,8589.9788,translation,eo,hu,5.0,Gold Standard,success,,35.9
Helsinki-NLP/opus-mt-is-eo,is-eo,7502,12.873,6.404677,11.719,1.8298,3371.1274,translation,is,eo,5.0,Gold Standard,success,,33.7
Helsinki-NLP/opus-mt-rn-es,rn-es,7512,12.875,5.416381,9.2237,1.7029,597.8724,translation,rn,es,5.0,Gold Standard,success,,33.2
Helsinki-NLP/opus-mt-es-rn,es-rn,7512,12.875,4.313551,8.0362,1.863,262.5118,translation,es,rn,5.0,Gold Standard,success,,31.3
Helsinki-NLP/opus-mt-en-rn,en-rn,7528,12.878,4.017943,11.5463,2.8737,2990.7472,translation,en,rn,5.0,Gold Standard,success,,28.0
Helsinki-NLP/opus-mt-rn-en,rn-en,7528,12.878,6.115551,10.3674,1.6953,1320.9902,translation,rn,en,5.0,Gold Standard,success,,36.3
Helsinki-NLP/opus-mt-ca-uk,ca-uk,7545,12.881,5.685405,11.9569,2.1031,3975.4057,translation,ca,uk,5.0,Gold Standard,success,,33.1
Helsinki-NLP/opus-mt-uk-ca,uk-ca,7545,12.881,6.117788,9.5869,1.5671,769.0363,translation,uk,ca,5.0,Gold Standard,success,,43.3
Helsinki-NLP/opus-mt-rn-fr,rn-fr,7560,12.884,6.258741,10.5923,1.6924,1543.8491,translation,rn,fr,5.0,Gold Standard,success,,35.8
Helsinki-NLP/opus-mt-vi-eo,vi-eo,7568,12.886,6.788238,12.1157,1.7848,4438.0064,translation,vi,eo,4.5,Gold Standard,success,,48.1
Helsinki-NLP/opus-mt-rn-de,rn-de,7574,12.887,6.636786,11.2457,1.6944,2428.2255,translation,rn,de,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-az-es,az-es,7590,12.89,7.186778,12.2518,1.7048,4877.0362,translation,az,es,5.0,Gold Standard,success,,37.9
Helsinki-NLP/opus-mt-be-es,be-es,7630,12.897,7.414265,10.6813,1.4406,1642.0238,translation,be,es,5.0,Gold Standard,success,,40.3
Helsinki-NLP/opus-mt-ru-eu,ru-eu,7677,12.906,8.769171,12.2882,1.4013,5001.7477,translation,ru,eu,5.0,Gold Standard,success,,43.8
Helsinki-NLP/opus-mt-eu-ru,eu-ru,7677,12.906,5.947864,11.784,1.9812,3526.3389,translation,eu,ru,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-el-eo,el-eo,7713,12.913,7.330448,11.5407,1.5743,2979.145,translation,el,eo,5.0,Gold Standard,success,,36.0
Helsinki-NLP/opus-mt-eo-el,eo-el,7713,12.913,5.534017,10.6552,1.9254,1612.5748,translation,eo,el,5.0,Gold Standard,success,,32.2
Helsinki-NLP/opus-mt-eo-ru,eo-ru,7730,12.916,5.874073,11.2805,1.9204,2487.6034,translation,eo,ru,5.0,Gold Standard,success,,32.3
Helsinki-NLP/opus-mt-ru-eo,ru-eo,7730,12.916,7.800375,11.3239,1.4517,2563.5573,translation,ru,eo,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-ar-eo,ar-eo,7741,12.918,7.521241,11.0689,1.4717,2148.2162,translation,ar,eo,5.0,Gold Standard,success,,35.0
Helsinki-NLP/opus-mt-hi-ur,hi-ur,7745,12.919,10.288534,10.563,1.0267,1512.7743,translation,hi,ur,5.0,Gold Standard,success,,46.6
Helsinki-NLP/opus-mt-en-hy,en-hy,7754,12.921,3.676097,10.79,2.9352,1770.6051,translation,en,hy,5.0,Gold Standard,success,,24.5
Helsinki-NLP/opus-mt-hy-ru,hy-ru,7756,12.921,5.926923,7.3851,1.246,167.1658,translation,hy,ru,5.0,Gold Standard,success,,42.5
Helsinki-NLP/opus-mt-ru-hy,ru-hy,7758,12.921,7.068357,7.8911,1.1164,237.3896,translation,ru,hy,5.0,Gold Standard,success,,47.5
Helsinki-NLP/opus-mt-eo-he,eo-he,7768,12.923,5.375287,10.2434,1.9057,1212.2114,translation,eo,he,5.0,Gold Standard,success,,34.1
Helsinki-NLP/opus-mt-he-eo,he-eo,7768,12.923,6.750761,9.2891,1.376,625.587,translation,he,eo,5.0,Gold Standard,success,,47.5
Helsinki-NLP/opus-mt-bg-eo,bg-eo,7770,12.924,7.771504,10.5707,1.3602,1520.8766,translation,bg,eo,5.0,Gold Standard,success,,52.8
Helsinki-NLP/opus-mt-eo-bg,eo-bg,7770,12.924,5.976087,10.9372,1.8302,1960.763,translation,eo,bg,5.0,Gold Standard,success,,35.5
Helsinki-NLP/opus-mt-rn-ru,rn-ru,7798,12.929,6.546117,11.0384,1.6863,2103.2678,translation,rn,ru,5.0,Gold Standard,success,,33.0
Helsinki-NLP/opus-mt-en-CELTIC,en-CELTIC,9001,13.136,3.548023,10.7215,3.0218,1688.461,translation,en,CELTIC,5.0,Gold Standard,success,,25.5
Helsinki-NLP/opus-mt-vsl-es,vsl-es,9980,13.285,7.209566,14.9179,2.0692,30955.7432,translation,vsl,es,5.0,Gold Standard,success,,28.9
Helsinki-NLP/opus-mt-ssp-es,ssp-es,10785,13.397,6.772342,14.4437,2.1328,22284.1622,translation,ssp,es,5.0,Gold Standard,success,,32.3
Helsinki-NLP/opus-mt-es-prl,es-prl,10873,13.408,6.953717,14.9241,2.1462,31089.7015,translation,es,prl,5.0,Gold Standard,success,,41.0
Helsinki-NLP/opus-mt-prl-es,prl-es,10873,13.408,6.786939,14.5512,2.144,24007.4892,translation,prl,es,5.0,Gold Standard,success,,31.2
Helsinki-NLP/opus-mt-csg-es,csg-es,11802,13.527,6.394247,13.8324,2.1633,14586.6997,translation,csg,es,5.0,Gold Standard,success,,39.4
Helsinki-NLP/opus-mt-es-csg,es-csg,11802,13.527,6.133858,13.2376,2.1581,9658.5041,translation,es,csg,5.0,Gold Standard,success,,30.7
Helsinki-NLP/opus-mt-en-gv,en-gv,12339,13.591,5.069757,14.5942,2.8787,24734.2005,translation,en,gv,5.0,Gold Standard,success,,31.2
Helsinki-NLP/opus-mt-gv-en,gv-en,12339,13.591,6.702029,14.9751,2.2344,32207.7361,translation,gv,en,5.0,Gold Standard,success,,33.5
Helsinki-NLP/opus-mt-es-ber,es-ber,13296,13.699,6.380966,13.0084,2.0386,8239.6905,translation,es,ber,5.0,Gold Standard,success,,37.1
Helsinki-NLP/opus-mt-ber-es,ber-es,13296,13.699,7.584314,15.5205,2.0464,47005.4189,translation,ber,es,5.0,Gold Standard,success,,37.1
Helsinki-NLP/opus-mt-fse-fi,fse-fi,17131,14.064,8.246122,15.1709,1.8398,36889.9944,translation,fse,fi,5.0,Gold Standard,success,,35.7
Helsinki-NLP/opus-mt-fi-fse,fi-fse,17131,14.064,7.91514,14.5711,1.8409,24341.6606,translation,fi,fse,5.0,Gold Standard,success,,33.0
Helsinki-NLP/opus-mt-no-da,no-da,18879,14.204,6.151096,14.402,2.3414,21648.3741,translation,no,da,4.0,High Quality,success,,33.4
Helsinki-NLP/opus-mt-da-no,da-no,18881,14.205,5.936611,14.0847,2.3725,17374.4613,translation,da,no,3.5,Good,success,,25.6
Helsinki-NLP/opus-mt-pt-ca,pt-ca,20554,14.327,6.597104,15.4406,2.3405,44471.3541,translation,pt,ca,3.5,Good,success,,27.2
Helsinki-NLP/opus-mt-ca-pt,ca-pt,20554,14.327,6.749016,16.0783,2.3823,69191.8837,translation,ca,pt,2.6666666666666665,Fair,success,,30.0
Helsinki-NLP/opus-mt-ber-fr,ber-fr,20994,14.358,7.800519,15.7653,2.0211,55698.1144,translation,ber,fr,5.0,Gold Standard,success,,29.8
Helsinki-NLP/opus-mt-fr-ber,fr-ber,20994,14.358,6.387442,13.1688,2.0617,9208.5033,translation,fr,ber,5.0,Gold Standard,success,,33.1
Helsinki-NLP/opus-mt-gl-en,gl-en,21305,14.379,6.453967,15.4543,2.3945,44895.7266,translation,gl,en,5.0,Gold Standard,success,,31.6
Helsinki-NLP/opus-mt-fr-ca,fr-ca,21410,14.386,5.816029,14.0408,2.4142,16853.7009,translation,fr,ca,5.0,Gold Standard,success,,31.0
Helsinki-NLP/opus-mt-ca-fr,ca-fr,21410,14.386,5.822648,14.0187,2.4076,16597.3932,translation,ca,fr,4.5,Gold Standard,success,,28.7
Helsinki-NLP/opus-mt-ca-it,ca-it,21528,14.394,6.181423,14.7742,2.3901,28020.7701,translation,ca,it,3.8333333333333335,Good,success,,29.6
Helsinki-NLP/opus-mt-it-ca,it-ca,21528,14.394,6.328352,15.0389,2.3764,33663.3093,translation,it,ca,4.0,High Quality,success,,28.6
Helsinki-NLP/opus-mt-phi-en,phi-en,21806,14.412,26.292639,60.3471,2.2952,1.4665597866695217e+18,translation,phi,en,3.3333333333333335,Good,success,,36.7
Helsinki-NLP/opus-mt-euq-en,euq-en,21964,14.423,5.821189,13.1497,2.2589,9088.0102,translation,euq,en,5.0,Gold Standard,success,,32.2
Helsinki-NLP/opus-mt-en-euq,en-euq,21964,14.423,3.571171,12.5401,3.5115,5955.8284,translation,en,euq,5.0,Gold Standard,success,,23.2
Helsinki-NLP/opus-mt-nl-ca,nl-ca,21976,14.424,5.365694,13.2886,2.4766,10006.2009,translation,nl,ca,5.0,Gold Standard,success,,31.5
Helsinki-NLP/opus-mt-ca-nl,ca-nl,21976,14.424,5.515103,13.167,2.3874,9197.3325,translation,ca,nl,3.5,Good,success,,28.5
Helsinki-NLP/opus-mt-no-es,no-es,22024,14.427,5.558355,13.4027,2.4113,10829.7388,translation,no,es,5.0,Gold Standard,success,,30.8
Helsinki-NLP/opus-mt-es-no,es-no,22026,14.427,5.398731,12.369,2.2911,5289.9228,translation,es,no,5.0,Gold Standard,success,,34.2
Helsinki-NLP/opus-mt-ilo-en,ilo-en,22065,14.429,6.484163,14.4774,2.2327,22810.7365,translation,ilo,en,3.5,Good,success,,30.2
Helsinki-NLP/opus-mt-de-ca,de-ca,22116,14.433,5.269434,12.0767,2.2918,4319.641,translation,de,ca,4.5,Gold Standard,success,,28.3
Helsinki-NLP/opus-mt-ca-de,ca-de,22116,14.433,5.53887,13.2544,2.393,9771.942,translation,ca,de,4.0,High Quality,success,,28.1
Helsinki-NLP/opus-mt-eu-de,eu-de,22170,14.436,5.647689,12.889,2.2822,7585.5783,translation,eu,de,5.0,Gold Standard,success,,32.2
Helsinki-NLP/opus-mt-de-eu,de-eu,22170,14.436,5.381745,12.1194,2.2519,4449.4652,translation,de,eu,5.0,Gold Standard,success,,43.3
Helsinki-NLP/opus-mt-grk-en,grk-en,22323,14.446,7.089426,14.5915,2.0582,24688.1729,translation,grk,en,2.1666666666666665,Fair,success,,31.6
Helsinki-NLP/opus-mt-en-grk,en-grk,22324,14.446,4.388725,16.5342,3.7674,94905.6462,translation,en,grk,5.0,Gold Standard,success,,24.5
Helsinki-NLP/opus-mt-ka-en,ka-en,23172,14.5,7.901162,12.072,1.5279,4305.5884,translation,ka,en,5.0,Gold Standard,success,,44.4
Helsinki-NLP/opus-mt-ccs-en,ccs-en,23173,14.5,8.797454,13.3991,1.5231,10802.5071,translation,ccs,en,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-az-en,az-en,23288,14.507,7.286461,14.458,1.9842,22505.1118,translation,az,en,5.0,Gold Standard,success,,29.2
Helsinki-NLP/opus-mt-en-az,en-az,23288,14.507,3.018997,10.6904,3.541,1652.4545,translation,en,az,5.0,Gold Standard,success,,22.1
Helsinki-NLP/opus-mt-kab-en,kab-en,23319,14.509,5.916295,12.7217,2.1503,6754.8747,translation,kab,en,5.0,Gold Standard,success,,35.2
Helsinki-NLP/opus-mt-ka-ru,ka-ru,23341,14.511,5.736357,8.2732,1.4422,309.3824,translation,ka,ru,5.0,Gold Standard,success,,42.6
Helsinki-NLP/opus-mt-cus-en,cus-en,23375,14.513,8.729314,14.1457,1.6205,18124.7357,translation,cus,en,5.0,Gold Standard,success,,33.7
Helsinki-NLP/opus-mt-en-cus,en-cus,23375,14.513,4.696313,14.7186,3.1341,26961.187,translation,en,cus,5.0,Gold Standard,success,,26.2
Helsinki-NLP/opus-mt-aed-es,aed-es,23625,14.528,5.831673,13.0754,2.2421,8631.4167,translation,aed,es,5.0,Gold Standard,success,,29.5
Helsinki-NLP/opus-mt-es-aed,es-aed,23625,14.528,5.820009,13.0165,2.2365,8285.9657,translation,es,aed,5.0,Gold Standard,success,,29.1
Helsinki-NLP/opus-mt-en-ml,en-ml,24661,14.59,3.325627,11.6209,3.4943,3149.389,translation,en,ml,5.0,Gold Standard,success,,25.2
Helsinki-NLP/opus-mt-ase-en,ase-en,24831,14.6,4.447756,16.3154,3.6682,81549.7806,translation,ase,en,0.5,Experimental,success,,24.0
Helsinki-NLP/opus-mt-es-csn,es-csn,28047,14.776,5.524186,12.6207,2.2846,6297.8871,translation,es,csn,5.0,Gold Standard,success,,41.5
Helsinki-NLP/opus-mt-csn-es,csn-es,28047,14.776,5.679829,12.9412,2.2785,7864.9752,translation,csn,es,5.0,Gold Standard,success,,31.0
Helsinki-NLP/opus-mt-es-mfs,es-mfs,28283,14.788,5.9019,13.4814,2.2843,11437.1571,translation,es,mfs,5.0,Gold Standard,success,,31.6
Helsinki-NLP/opus-mt-mfs-es,mfs-es,28283,14.788,5.906311,13.4844,2.2831,11460.7211,translation,mfs,es,5.0,Gold Standard,success,,41.4
Helsinki-NLP/opus-mt-cpp-cpp,cpp-cpp,31989,14.965,4.954404,11.5678,2.3349,3035.7003,translation,cpp,cpp,4.5,Gold Standard,success,,30.7
Helsinki-NLP/opus-mt-tc-big-en-ko,tcbig-en-ko,32001,14.966,2.736617,11.8233,4.3204,3623.9146,translation,tcbig,ko,5.0,Gold Standard,success,,26.1
Helsinki-NLP/opus-mt-tc-big-ko-en,tcbig-ko-en,32001,14.966,3.904775,11.8153,3.0258,3603.6864,translation,tcbig,en,5.0,Gold Standard,success,,32.0
Helsinki-NLP/opus-mt-synthetic-en-is,synthetic-en-is,32001,14.966,3.572061,12.5974,3.5266,6197.088,translation,synthetic,is,5.0,Gold Standard,success,,23.2
Helsinki-NLP/opus-mt-caenes-eo,caenes-eo,32001,14.966,3.159082,12.0043,3.7999,4108.2704,translation,caenes,eo,5.0,Gold Standard,success,,21.2
Helsinki-NLP/opus-mt-synthetic-en-gd,synthetic-en-gd,32001,14.966,3.426766,12.5818,3.6716,6130.7474,translation,synthetic,gd,5.0,Gold Standard,success,,21.7
Helsinki-NLP/opus-mt-eo-caenes,eo-caenes,32001,14.966,3.065735,11.6496,3.7999,3212.7702,translation,eo,caenes,5.0,Gold Standard,success,,20.7
Helsinki-NLP/opus-mt-tc-big-en-ko,tc-big-en-ko,32001,14.966,2.736617,11.8233,4.3204,3623.9146,translation,tc,ko,4.333333333333333,High Quality,success,,24.7
Helsinki-NLP/opus-mt-synthetic-en-uk,synthetic-en-uk,32001,14.966,3.684552,12.6443,3.4317,6401.8047,translation,synthetic,uk,5.0,Gold Standard,success,,23.5
Helsinki-NLP/opus-mt-tc-big-zh-ja,tc-big-zh-ja,32001,14.966,4.535008,11.6283,2.5641,3165.7748,translation,tc,ja,5.0,Gold Standard,success,,40.6
Helsinki-NLP/opus-mt-tc-big-ko-en,tc-big-ko-en,32001,14.966,3.904775,11.8153,3.0258,3603.6864,translation,tc,en,5.0,Gold Standard,success,,33.0
Helsinki-NLP/opus-mt-synthetic-en-mk,synthetic-en-mk,32001,14.966,3.804043,13.2145,3.4738,9505.036,translation,synthetic,mk,5.0,Gold Standard,success,,34.3
Helsinki-NLP/opus-mt-synthetic-en-so,synthetic-en-so,32001,14.966,3.383193,12.0404,3.5589,4212.2747,translation,synthetic,so,5.0,Gold Standard,success,,22.5
Helsinki-NLP/opus-mt-tc-big-zh-ja,tcbig-zh-ja,32001,14.966,4.535008,11.6283,2.5641,3165.7748,translation,tcbig,ja,5.0,Gold Standard,success,,34.3
Helsinki-NLP/opus-mt-synthetic-en-eu,synthetic-en-eu,32001,14.966,3.539962,12.5425,3.5431,5965.9906,translation,synthetic,eu,5.0,Gold Standard,success,,21.6
Helsinki-NLP/opus-mt-synthetic-en-ka,synthetic-en-ka,32001,14.966,3.607146,12.4309,3.4462,5521.5711,translation,synthetic,ka,5.0,Gold Standard,success,,23.7
Helsinki-NLP/opus-mt-fi-fi,fi-fi,33007,15.01,5.443705,12.6712,2.3277,6522.3407,translation,fi,fi,0.5,Experimental,success,,27.3
Helsinki-NLP/opus-mt-inc-inc,inc-inc,33211,15.019,7.799516,12.155,1.5584,4560.4743,translation,inc,inc,4.5,Gold Standard,success,,38.5
Helsinki-NLP/opus-mt-de-de,de-de,33217,15.02,5.126661,14.28,2.7854,19893.1175,translation,de,de,0.5,Experimental,success,,25.1
Helsinki-NLP/opus-mt-es-es,es-es,33253,15.021,5.480201,14.2447,2.5993,19412.6957,translation,es,es,0.5,Experimental,success,,28.1
Helsinki-NLP/opus-mt-iir-iir,iir-iir,33254,15.021,12.848805,20.1506,1.5683,1163945.282,translation,iir,iir,5.0,Gold Standard,success,,36.3
Helsinki-NLP/opus-mt-zls-zls,zls-zls,33399,15.028,6.825466,13.3766,1.9598,10635.3515,translation,zls,zls,4.5,Gold Standard,success,,38.9
Helsinki-NLP/opus-mt-sv-sv,sv-sv,33549,15.034,5.838876,14.8338,2.5405,29201.7066,translation,sv,sv,0.5,Experimental,success,,30.4
Helsinki-NLP/opus-mt-urj-urj,urj-urj,33614,15.037,16.485414,40.0239,2.4278,1117892914491.5813,translation,urj,urj,2.3333333333333335,Fair,success,,28.9
Helsinki-NLP/opus-mt-fiu-fiu,fiu-fiu,33642,15.038,5.990128,14.4852,2.4182,22933.8827,translation,fiu,fiu,3.3333333333333335,Good,success,,32.1
Helsinki-NLP/opus-mt-sem-sem,sem-sem,33700,15.04,5.40948,13.008,2.4047,8237.6748,translation,sem,sem,5.0,Gold Standard,success,,35.6
Helsinki-NLP/opus-mt-zlw-zlw,zlw-zlw,33704,15.041,4.469873,11.4134,2.5534,2727.5672,translation,zlw,zlw,3.8333333333333335,Good,success,,32.7
Helsinki-NLP/opus-mt-afa-afa,afa-afa,33714,15.041,5.327593,12.2037,2.2907,4717.2566,translation,afa,afa,5.0,Gold Standard,success,,29.5
Helsinki-NLP/opus-mt-gmq-gmq,gmq-gmq,33884,15.048,5.462614,14.7648,2.7029,27838.1152,translation,gmq,gmq,4.333333333333333,High Quality,success,,27.5
Helsinki-NLP/opus-mt-zle-zle,zle-zle,34020,15.054,7.08292,15.0452,2.1241,33810.1881,translation,zle,zle,1.0,Basic,success,,30.4
Helsinki-NLP/opus-mt-en-tdt,en-tdt,34360,15.068,3.96296,14.9589,3.7747,31846.9269,translation,en,tdt,5.0,Gold Standard,success,,24.5
Helsinki-NLP/opus-mt-tc-big-gmq-gmq,tcbig-gmq-gmq,34891,15.091,4.739452,13.1982,2.7848,9398.3664,translation,tcbig,gmq,0.3333333333333333,Experimental,success,,41.6
Helsinki-NLP/opus-mt-tc-big-gmq-gmq,tc-big-gmq-gmq,34891,15.091,4.739452,13.1982,2.7848,9398.3664,translation,tc,gmq,1.0,Basic,success,,32.4
